SampleName,SciLifeID,Level,Type,Class
80%1,101,80%,Needle,C
80%2,102,80%,Needle,C
80%3,103,80%,Needle,C
80%4,104,80%,Needle,C
60%1,105,60%,Needle,E
60%2,106,60%,Needle,E
60%3,107,60%,Needle,E
60%4,108,60%,Needle,E
40%1,109,40%,Needle,E
40%2,110,40%,Needle,E
40%3,111,40%,Needle,E
40%4,112,40%,Needle,E
30%1,113,30%,Needle,E
30%2,114,30%,Needle,E
30%3,115,30%,Needle,E
30%4,116,30%,Needle,E
7d30%1,117,30%7d,Needle,EI
7d30%2,118,30%7d,Needle,EI
7d30%3,119,30%7d,Needle,EI
7d30%4,120,30%7d,Needle,EI
Collapse1,121,Collapse,Needle,L
Collapse2,122,Collapse,Needle,L
Collapse3,123,Collapse,Needle,L
Collapse4,124,Collapse,Needle,L
C48-1,125,C2d,Needle,L
C48-2,126,C2d,Needle,L
C48-3,127,C2d,Needle,L
Rehydrate1,128,Rehydrate,Needle,R
Rehydrate2,129,Rehydrate,Needle,R
Rehydrate3,130,Rehydrate,Needle,R
R_80%1,R_101,80%,Root,C
R_80%2,R_102,80%,Root,C
R_80%3,R_103,80%,Root,C
R_80%4,R_104,80%,Root,C
R_60%1,R_105,60%,Root,E
R_60%2,R_106,60%,Root,E
R_60%3,R_107,60%,Root,E
R_60%4,R_108,60%,Root,E
R_40%1,R_109,40%,Root,E
R_40%2,R_110,40%,Root,E
R_40%3,R_111,40%,Root,E
R_40%4,R_112,40%,Root,E
R_30%1,R_113,30%,Root,E
R_30%2,R_114,30%,Root,E
R_30%3,R_115,30%,Root,E
R_30%4,R_116,30%,Root,E
R_7d30%1,R_117,30%7d,Root,EI
R_7d30%2,R_118,30%7d,Root,EI
R_7d30%3,R_119,30%7d,Root,EI
R_Collapse1,R_120,Collapse,Root,L
R_Collapse3,R_121,Collapse,Root,L
R_Collapse4,R_122,Collapse,Root,L
R_C48-1,R_123,C2d,Root,L
R_C48-2,R_124,C2d,Root,L
R_C48-3,R_125,C2d,Root,L
R_Rehydrate1,R_126,Rehydrate,Root,R
R_Rehydrate2,R_127,Rehydrate,Root,R
R_Rehydrate3,R_128,Rehydrate,Root,R
