SampleName,SciLifeID,Level,Class
80%1,101,80%,C
80%2,102,80%,C
80%3,103,80%,C
80%4,104,80%,C
60%1,105,60%,E
60%2,106,60%,E
60%3,107,60%,E
60%4,108,60%,E
40%1,109,40%,E
40%2,110,40%,E
40%3,111,40%,E
40%4,112,40%,E
30%1,113,30%,E
30%2,114,30%,E
30%3,115,30%,E
30%4,116,30%,E
7d30%1,117,30%7d,EI
7d30%2,118,30%7d,EI
7d30%3,119,30%7d,EI
7d30%4,120,30%7d,EI
Collapse1,121,Collapse,L
Collapse2,122,Collapse,L
Collapse3,123,Collapse,L
Collapse4,124,Collapse,L
C48-1,125,C2d,L
C48-2,126,C2d,L
C48-3,127,C2d,L
Rehydrate1,128,Rehydrate,R
Rehydrate2,129,Rehydrate,R
Rehydrate3,130,Rehydrate,R
